"plate","state","license_type","summons_number","issue_date","violation_time","violation","precinct","county","issuing_agency"
"3217328","IN","PAS","9081017986","03/18/2026","01:37P","BIKE LANE","112","Q","TRAFFIC"
"HFW1566","NC","PAS","9080874711","05/30/2024",,,,,
"KNM8126","NY","PAS","9080894412","10/15/2023","01:43P","DOUBLE PARKING","028","NY","TRAFFIC"
"T783108C","NY","OMT","9080919184","09/23/2023","06:33A","FIRE HYDRANT","045","BX","TRAFFIC"
"KNM8539","NY","PAS","9081100142","09/23/2023","00:14A","DOUBLE PARKING","033","NY","TRAFFIC"
"T745340C","NY","OMT","9081103738","11/01/2023","03:02A","FIRE HYDRANT","033","NY","TRAFFIC"
"W10LXR","NJ","PAS","9081117658","09/28/2023","08:21P","FIRE HYDRANT","052","BX","TRAFFIC"
"KNM6021","NY","PAS","9081125254","09/16/2023","07:28A","CROSSWALK","042","BX","TRAFFIC"
"TPV9667","VA","PAS","9081355302","09/14/2023","01:57P","FIRE HYDRANT","073","K","TRAFFIC"
"MCS0372","PA","PAS","9081402018","10/05/2023","01:49A","FIRE HYDRANT","115","Q","TRAFFIC"
"N37PVB","NJ","PAS","9081690462","09/26/2023","06:05A","CROSSWALK","110","Q","TRAFFIC"
"9BBZ516","CA","PAS","9081829105","10/11/2023","11:14A","CROSSWALK","042","BX","TRAFFIC"
"78367MH","NY","COM","9082126473","10/16/2023","09:45A","FIRE HYDRANT","049","BX","TRAFFIC"
"XGAK27","NJ","PAS","9082127738","10/20/2023","12:45P","BIKE LANE","046","BX","TRAFFIC"
"X54NMY","NY","PAS","9082199683","09/18/2024","03:48P","VIN OBSCURED","084","K","TRAFFIC"
"KFT8904","NY","PAS","9082227800","09/30/2023","06:23A","FIRE HYDRANT","107","Q","TRAFFIC"
"51943","CT","PAS","9082249868","12/30/2024","07:11A","NO PARKING-DAY/TIME LIMITS","115","Q","TRAFFIC"
"4990E32","TX","PAS","9082438161","03/01/2024",,,,,
"KTD9999","NY","PAS","9082688451","10/20/2023","05:59A","CROSSWALK","110","Q","TRAFFIC"
"B0MZD","FL","PAS","9082784075","10/06/2023","06:11A","FIRE HYDRANT","043","BX","TRAFFIC"
"LBB2006","NY","PAS","9082911693","10/16/2023","11:08A","FIRE HYDRANT","043","BX","TRAFFIC"
"S1858058","GA","PAS","9083055061","05/16/2024",,,,,
"BLANKPLATE","99","999","9083347369","10/19/2023","01:58P","FIRE HYDRANT","046","BX","TRAFFIC"
"258199A","ME","PAS","9083380890","09/24/2024","10:21P","DETACHED TRAILER","113","Q","TRAFFIC"
"0001VLD","DP","PAS","9083440000","10/03/2023","08:40A","FIRE HYDRANT","043","BX","TRAFFIC"
"T767057C","NY","OMT","9083444650","10/22/2023","08:00A","CROSSWALK","048","BX","TRAFFIC"
"G42RMJ","NJ","PAS","9083586716","10/04/2023","02:24P","DOUBLE PARKING","073","K","TRAFFIC"
"KUU4029","NY","PAS","9083675324","09/30/2023","11:59A","FIRE HYDRANT","069","K","TRAFFIC"
"733807T","NJ","PAS","9083676675","10/04/2023","09:24A","DOUBLE PARKING","061","K","TRAFFIC"
"B44PPS","NJ","PAS","9083796565","10/10/2023","08:50A","SAFETY ZONE","030","NY","TRAFFIC"
"BLANKPLATE","99","999","9083870870","10/14/2023","09:27A","FIRE HYDRANT","046","BX","TRAFFIC"
"BLANKPLATE","99","999","9083879290","10/24/2023","12:15P","FIRE HYDRANT","041","BX","TRAFFIC"
"V24SLZ","NJ","PAS","9083884302","10/28/2023","07:15A","CROSSWALK","041","BX","TRAFFIC"
"5210199","GV","PAS","9084057247","10/17/2023","01:10P","BIKE LANE","018","NY","TRAFFIC"
"LYN5995","PA","PAS","9084141933","10/24/2023","08:50P","FIRE HYDRANT","052","BX","TRAFFIC"
"KYK1769","NY","PAS","9084275494","10/18/2023","02:44A","FIRE HYDRANT","104","Q","TRAFFIC"
"Y46KJG","NJ","PAS","9084667645","10/17/2023","11:03P","FIRE HYDRANT","067","K","TRAFFIC"
"A55HED","FL","PAS","9084672495","06/13/2025","02:15P","VIN OBSCURED","102","Q","TRAFFIC"
"XLPF94","NJ","PAS","9084797176","10/28/2023","08:39A","FIRE HYDRANT","072","K","TRAFFIC"
"BLANKPLATE","99","999","9084911775","10/24/2023","12:15P","FIRE HYDRANT","052","BX","TRAFFIC"
"LDY1610","NY","PAS","9085100951","10/11/2023","02:02A","FIRE HYDRANT","107","Q","TRAFFIC"
"KLJ5950","NY","PAS","9085259368","10/16/2023","06:35A","FIRE HYDRANT","040","BX","TRAFFIC"
"G2933L","FL","PAS","9085951446","04/19/2024",,,,,
"ZKP6853","NY","PAS","9085954356","02/06/2025","02:58P","FIRE HYDRANT","102","Q","TRAFFIC"
"JEM4984","NY","PAS","9086120222","10/18/2023","01:15P","BIKE LANE","030","NY","TRAFFIC"
"665789T","NJ","PAS","9086131049","10/16/2023","09:04A","FIRE HYDRANT","045","BX","TRAFFIC"
"KZX8343","NY","PAS","9086283263","11/07/2023","07:20A","WRONG WAY","111","Q","TRAFFIC"
"BJ37322","CT","999","9086738898","02/12/2025","09:09A","VIN OBSCURED","103","Q","TRAFFIC"
"THJ9810","NC","PAS","9086803593","11/07/2023","07:52A","CROSSWALK","114","Q","TRAFFIC"
"KRV9687","NY","PAS","9086976505","10/19/2023","06:22A","SIDEWALK","062","K","TRAFFIC"
"AR57724","CT","PAS","9087031105","11/14/2024","02:50P","VIN OBSCURED","106","Q","TRAFFIC"
"MKF1590","PA","PAS","9087032626","12/01/2024","02:35P","VIN OBSCURED","107","Q","TRAFFIC"
"ZKR5610","NY","ITP","9087135221","02/18/2025","07:25A","NO STANDING-COMM METER ZONE","018","NY","TRAFFIC"
"BLANKPLATE","99","999","9087442567","11/16/2023","10:01A","CROSSWALK","046","BX","TRAFFIC"
"85BM02","TN","PAS","9087534139","10/17/2025","01:34P","FAIL TO DSPLY MUNI METER RECPT","109","Q","TRAFFIC"
"DVA5317","NY","PAS","9087620809","10/20/2023","06:17A","FIRE HYDRANT","046","BX","TRAFFIC"
"BLANKPLATE","99","999","9087904332","11/09/2023","08:09A","CROSSWALK","046","BX","TRAFFIC"
"LAU4556","NY","PAS","9088137810","10/28/2023","06:42A","FIRE HYDRANT","049","BX","TRAFFIC"
"MHS0402","PA","PAS","9088203301","11/09/2023","09:21A","FIRE HYDRANT","104","Q","TRAFFIC"
"KGR8301","NY","PAS","9088353979","11/03/2023","05:27P","FIRE HYDRANT","006","NY","TRAFFIC"
"B9QQA","FL","PAS","9088460220","10/25/2023","08:54P","BIKE LANE","049","BX","TRAFFIC"
"AW790Z","NJ","PAS","9088574420","02/28/2024",,,,,
"124BH9","NY","MOT","9088588570","11/28/2023","11:19A","WRONG WAY","006","NY","TRAFFIC"
"41CDWK","FL","PAS","9088841639","11/01/2023","06:55A","CROSSWALK","109","Q","TRAFFIC"
"BLANKPLATE","99","999","9088919070","10/31/2023","01:31P","CROSSWALK","048","BX","TRAFFIC"
"LAZ2613","NY","PAS","9088946851","11/03/2023","09:09P","BIKE LANE","052","BX","TRAFFIC"
"LRD9356","PA","PAS","9089286664","11/02/2023","06:24P","FIRE HYDRANT","033","NY","TRAFFIC"
"XPEL43","NJ","PAS","9089447477","11/14/2023","06:10P","WRONG WAY","043","BX","TRAFFIC"
"KWL3170","NY","PAS","9089530381","11/13/2023","02:27P","SIDEWALK","104","Q","TRAFFIC"
"KVC4848","NY","PAS","9089996321","01/11/2024","07:54A","FIRE HYDRANT","043","BX","TRAFFIC"
"BLANKPLATE","99","999","9089999140","02/02/2024","10:02A","FIRE HYDRANT","052","BX","TRAFFIC"
"Z90RDD","NJ","PAS","9089999875","02/07/2024","08:32A","DOUBLE PARKING","043","BX","TRAFFIC"
"KZG1036","NY","PAS","9090510618","11/14/2023","08:42P","FIRE HYDRANT","066","K","TRAFFIC"
"JHZ7029","NY","PAS","9090642110","11/11/2023","07:00A","FIRE HYDRANT","115","Q","TRAFFIC"
"12AWTT","FL","PAS","9090822148","11/17/2023","11:41P","BIKE LANE","108","Q","TRAFFIC"
"KJD8178","NY","PAS","9090844510","01/05/2024","01:13P","SIDEWALK","108","Q","TRAFFIC"
"M23MZN","NJ","PAS","9090917159","08/20/2024","04:41P","EXPIRED MUNI METER","019","NY","TRAFFIC"
"D81PFY","NJ","PAS","9090931120","11/07/2023","06:29A","SIDEWALK","044","BX","TRAFFIC"
"DL03YU","FL","PAS","9091058584","01/16/2026","03:16P","BIKE LANE","088","K","TRAFFIC"
"BLANKPLATE","99","999","9091294826","12/01/2023","02:30P","SIDEWALK","043","BX","TRAFFIC"
"BLANKPLATE","99","999","9091299599","11/16/2023","08:00A","FIRE HYDRANT","046","BX","TRAFFIC"
"LAT4224","NY","PAS","9091420339","09/23/2024","02:24P","VIN OBSCURED","112","Q","TRAFFIC"
"BLANKPLATE","99","999","9091637468","11/18/2023","06:51A","DOUBLE PARKING","046","BX","TRAFFIC"
"CSR1052","TX","PAS","9091643833","03/26/2024",,,,,
"KYL1235","NY","PAS","9091732222","01/03/2024","09:04P","FIRE HYDRANT","110","Q","TRAFFIC"
"BLANKPLATE","99","999","9091946039","11/16/2023","10:07A","FIRE HYDRANT","041","BX","TRAFFIC"
"KRZ9529","NY","PAS","9091948486","11/26/2023","08:28A","DOUBLE PARKING","044","BX","TRAFFIC"
"MCW7427","PA","PAS","9091979343","12/05/2023","04:51A","FIRE HYDRANT","071","K","TRAFFIC"
"BLANKPLATE","99","999","9092215004","11/13/2023","09:06P","FIRE HYDRANT","046","BX","TRAFFIC"
"BLANKPLATE","99","999","9092252463","11/16/2023","01:18P","DOUBLE PARKING","046","BX","TRAFFIC"
"B47PAG","NJ","PAS","9092496080","11/17/2023","05:37A","SIDEWALK","067","K","TRAFFIC"
"63X988","WV","PAS","9092761023","10/24/2024","08:22A","FIRE HYDRANT","067","K","TRAFFIC"
"LCD3228","NY","PAS","9092796037","11/15/2023","00:32A","SIDEWALK","061","K","TRAFFIC"
"VMS901","SC","PAS","9093104743","02/27/2024",,,,,
"D70RSN","NJ","PAS","9093161430","11/15/2023","09:07A","CROSSWALK","048","BX","TRAFFIC"
"KZJ6357","NY","PAS","9093238127","01/12/2024","10:47A","SIDEWALK","088","K","TRAFFIC"
"3NGA94","MA","PAS","9093403011","12/11/2023","01:58P","FIRE HYDRANT","020","NY","TRAFFIC"
"MDW4016","PA","PAS","9093415475","11/21/2023","11:19A","FIRE HYDRANT","050","BX","TRAFFIC"
"BLANKPLATE","99","999","9093441760","11/24/2023","08:19A","FIRE HYDRANT","043","BX","TRAFFIC"
"KPP8465","NY","PAS","9093773343","11/24/2023","05:59A","BIKE LANE","052","BX","TRAFFIC"
"BLANKPLATE","99","999","9093846073","11/17/2023","03:32A","FIRE HYDRANT","052","BX","TRAFFIC"
"LFN6852","NY","PAS","9094254104","01/29/2024","08:08A","FIRE HYDRANT","048","BX","TRAFFIC"
"LER5615","NY","PAS","9094393931","12/06/2023","09:00A","SIDEWALK","114","Q","TRAFFIC"
"XPML67","NJ","PAS","9094419142","03/15/2024",,,,,
"JCM3372","OH","PAS","9094703592","12/06/2023","01:47P","DOUBLE PARKING","114","Q","TRAFFIC"
"61008CJ","MD","PAS","9094723487","12/11/2023","08:44A","WRONG WAY","109","Q","TRAFFIC"
"1NYY73","MA","PAS","9094728450","12/09/2023","07:39A","SIDEWALK","111","Q","TRAFFIC"
"LEV6250","NY","PAS","9094922230","11/26/2023","12:11P","DOUBLE PARKING","046","BX","TRAFFIC"
"BLANKPLATE","99","999","9094935557","12/01/2023","01:54P","BIKE LANE","046","BX","TRAFFIC"
"J29PTY","NJ","PAS","9095084334","12/06/2023","07:09A","FIRE HYDRANT","115","Q","TRAFFIC"
"KMX5864","NY","PAS","9095312239","11/29/2023","07:46A","FIRE HYDRANT","077","K","TRAFFIC"
"HDW766","MS","PAS","9095479389","03/02/2024",,,,,
"DFH7760","NC","PAS","9095510153","03/03/2024",,,,,
"3282408","IN","PAS","9095566225","12/03/2023","10:42A","DOUBLE PARKING","018","NY","TRAFFIC"
"XKBA54","NJ","PAS","9095568945","12/21/2023","10:26P","BIKE LANE","018","NY","TRAFFIC"
"BLANKPLATE","99","999","9095597611","02/21/2024","02:24P","FIRE HYDRANT","044","BX","TRAFFIC"
"BLANKPLATE","99","999","9095728857","01/22/2024","07:57A","FIRE HYDRANT","052","BX","TRAFFIC"
"BLANKPLATE","99","999","9095731716","12/04/2023","10:58A","FIRE HYDRANT","049","BX","TRAFFIC"
"HDC7775","TX","PAS","9095848840","03/13/2024",,,,,
"55107","NY","COM","9095919882","05/22/2024",,,,,
"52969MF","NY","COM","9095984655","03/01/2024",,,,,
"S2102998","GA","PAS","9096046833","12/19/2024","08:43A","SIDEWALK","052","BX","TRAFFIC"
"LAV7261","NY","PAS","9096063764","12/08/2023","08:38A","FIRE HYDRANT","066","K","TRAFFIC"
"HVY5540","OH","PAS","9096068105","12/08/2023","05:59A","FIRE HYDRANT","068","K","TRAFFIC"
"ANS09J","QB","PAS","9096203835","08/26/2024","07:35A","FIRE HYDRANT","010","NY","TRAFFIC"
"BLANKPLATE","99","999","9096303246","12/26/2023","01:06P","FIRE HYDRANT","049","BX","TRAFFIC"
"BLANKPLATE","99","999","9096494131","12/05/2023","09:43A","FIRE HYDRANT","046","BX","TRAFFIC"
"BLANKPLATE","99","999","9096515470","12/01/2023","03:36P","FIRE HYDRANT","044","BX","TRAFFIC"
"BLANKPLATE","99","999","9096792270","12/26/2023","02:25P","FIRE HYDRANT","044","BX","TRAFFIC"
"LDY1067","NY","PAS","9097054825","01/26/2024","01:03P","DOUBLE PARKING","026","NY","TRAFFIC"
"UAU2886","VA","PAS","9097172627","12/29/2023","11:05A","WRONG WAY","103","Q","TRAFFIC"
"BLANKPLATE","99","999","9097346149","12/09/2023","01:45P","FIRE HYDRANT","046","BX","TRAFFIC"
"BX95WY","FL","PAS","9097351390","12/09/2023","01:32P","FIRE HYDRANT","049","BX","TRAFFIC"
"KSZ5424","NY","PAS","9097542807","12/14/2023","08:32A","CROSSWALK","052","BX","TRAFFIC"
"EDX8316","MI","PAS","9097575564","12/06/2023","06:46A","FIRE HYDRANT","070","K","TRAFFIC"
"LAS2015","NY","PAS","9097707316","01/06/2024","01:28P","BIKE LANE","046","BX","TRAFFIC"
"2595PS","SC","PAS","9097781875","12/12/2023","07:24A","SIDEWALK","102","Q","TRAFFIC"
"TK2440","NC","PAS","9098339438","01/02/2024","02:35P","DOUBLE PARKING","020","NY","TRAFFIC"
"57006NB","NY","COM","9098377282","12/19/2023","06:34A","FIRE HYDRANT","062","K","TRAFFIC"
"MJN2042","PA","PAS","9098696715","01/12/2024","11:08A","FIRE HYDRANT","110","Q","TRAFFIC"
"LPR2589","PA","PAS","9098874435","12/29/2023","08:34A","CROSSWALK","043","BX","TRAFFIC"
"BLANKPLATE","99","999","9098895372","12/19/2023","03:16P","FIRE HYDRANT","040","BX","TRAFFIC"
"RDY3640","GA","PAS","9098974958","10/23/2024","03:17P","FIRE HYDRANT","115","Q","TRAFFIC"
"KNP5774","NY","PAS","9098979518","01/19/2024","01:54A","FIRE HYDRANT","110","Q","TRAFFIC"
"BLANKPLATE","99","999","9099066466","01/01/2024","01:37P","FIRE HYDRANT","052","BX","TRAFFIC"
"JJZ5805","PA","PAS","9099225854","12/19/2023","12:22P","CROSSWALK","023","NY","TRAFFIC"
"RIBP89","FL","PAS","9099239919","05/28/2024",,,,,
"KKB4753","NY","PAS","9099269158","01/03/2024","01:03A","FIRE HYDRANT","075","K","TRAFFIC"
"KNU1388","NY","PAS","9099431223","12/21/2023","06:34P","FIRE HYDRANT","030","NY","TRAFFIC"
"KUJ2781","NY","PAS","9099448041","12/30/2023","01:30P","FIRE HYDRANT","043","BX","TRAFFIC"
"BH32673","CT","PAS","9099530444","01/26/2024","09:40P","FIRE HYDRANT","110","Q","TRAFFIC"
"T695946C","NY","OMT","9099680892","12/22/2023","11:06A","SIDEWALK","044","BX","TRAFFIC"
"BLANKPLATE","99","999","9099690812","01/02/2024","02:26P","FIRE HYDRANT","052","BX","TRAFFIC"
"UXX2917","VA","PAS","9099736770","12/30/2023","08:53A","FIRE HYDRANT","075","K","TRAFFIC"
"KXE2755","NY","PAS","9099878643","01/13/2024","07:58A","DOUBLE PARKING","028","NY","TRAFFIC"
"LDJ7317","NY","PAS","9099887449","12/27/2023","08:27A","FIRE HYDRANT","046","BX","TRAFFIC"
"BLANKPLATE","99","999","9099889951","01/06/2024","07:38A","FIRE HYDRANT","046","BX","TRAFFIC"
"E90RUJ","NJ","PAS","9099939735","01/12/2024","03:01P","CROSSWALK","075","K","TRAFFIC"
"6095QW","SC","PAS","9099976781","01/31/2024","08:47A","FIRE HYDRANT","114","Q","TRAFFIC"
"BLANKPLATE","99","999","9100137819","01/02/2024","08:34P","FIRE HYDRANT","052","BX","TRAFFIC"
"AW25320","CT","PAS","9100289243","01/24/2024","09:59A","FIRE HYDRANT","019","NY","TRAFFIC"
"B66RUR","NJ","PAS","9100376802","01/19/2024","10:05A","FIRE HYDRANT","090","K","TRAFFIC"
"T117369C","NY","OMT","9100407781","01/08/2024","02:21P","DOUBLE PARKING","114","Q","TRAFFIC"
"496AUS","CT","PAS","9100421273","11/10/2025","04:49P","EXPIRED MUNI METER","108","Q","TRAFFIC"
"C37UDL","NJ","PAS","9100422587","11/17/2025","01:30P","FAIL TO DSPLY MUNI METER RECPT","114","Q","TRAFFIC"
"VDW3062","NC","PAS","9100535874","11/12/2024","11:44A","DOUBLE PARKING","067","K","TRAFFIC"
"64BNJK","FL","PAS","9100571969","01/02/2024","11:43P","CROSSWALK","062","K","TRAFFIC"
"BLANKPLATE","99","999","9100693728","01/11/2024","09:00A","FIRE HYDRANT","046","BX","TRAFFIC"
"A88SBX","NJ","PAS","9100727039","01/08/2024","08:23P","FIRE HYDRANT","067","K","TRAFFIC"
"BLANKPLATE","99","999","9101022301","01/27/2024","01:37P","CROSSWALK","048","BX","TRAFFIC"
"BLANKPLATE","99","999","9101216612","01/29/2024","05:19P","FIRE HYDRANT","102","Q","TRAFFIC"
"BLANKPLATE","99","999","9101254807","01/23/2024","11:47A","NO PARKING-STREET CLEANING","048","BX","TRAFFIC"
"T724836C","NY","OMT","9101345242","01/06/2024","01:20A","FIRE HYDRANT","104","Q","TRAFFIC"
"LGT6769","NY","PAS","9101361946","01/04/2024","05:52A","FIRE HYDRANT","115","Q","TRAFFIC"
"T37NPR","NJ","PAS","9101592919","01/19/2024","12:18P","FIRE HYDRANT","019","NY","TRAFFIC"
"BLANKPLATE","99","999","9101605446","01/03/2024","03:14P","DOUBLE PARKING","052","BX","TRAFFIC"
"1FH1911","MD","PAS","9101731294","01/08/2024","06:59A","SIDEWALK","114","Q","TRAFFIC"
"KJH4093","NY","PAS","9101868366","01/23/2024","05:08P","FIRE HYDRANT","110","Q","TRAFFIC"
"BLANKPLATE","99","999","9101901229","01/18/2024","12:37P","FIRE HYDRANT","044","BX","TRAFFIC"
"S1866033","GA","PAS","9101909939","04/21/2024",,,,,
"BLANKPLATE","99","999","9101991206","01/08/2024","09:48A","FIRE HYDRANT","052","BX","TRAFFIC"
"3CSR93","MA","PAS","9101999990","01/25/2024","08:38A","FIRE HYDRANT","046","BX","TRAFFIC"
"BLANKPLATE","99","999","9102235985","01/05/2024","02:30P","FIRE HYDRANT","042","BX","TRAFFIC"
"MCB7553","PA","PAS","9102257002","02/28/2024",,,,,
"T102760C","NY","OMT","9102429780","02/22/2024","08:25P","FIRE HYDRANT","102","Q","TRAFFIC"
"15482V","TX","PAS","9102474499","03/06/2024",,,,,
"WYP92M","NJ","PAS","9102530090","01/10/2024","05:10P","DOUBLE PARKING","023","NY","TRAFFIC"
"BF90514","CT","PAS","9102629707","03/02/2024",,,,,
"BLANKPLATE","99","999","9102892583","02/12/2024","07:06P","SIDEWALK","048","BX","TRAFFIC"
"X35CHS","NJ","PAS","9102998210","02/26/2024",,,,,
"96383ML","NY","COM","9103080857","01/19/2024","01:05P","DOUBLE PARKING","044","BX","TRAFFIC"
"BLANKPLATE","99","999","9103278700","01/28/2024","07:19A","FIRE HYDRANT","028","NY","TRAFFIC"
"43790NE","NY","COM","9103564605","02/22/2026","01:00P","CROSSWALK","103","Q","TRAFFIC"
"JGY8040","NY","PAS","9103564850","03/01/2026","01:02P","INSP. STICKER-EXPIRED/MISSING","112","Q","TRAFFIC"
"MCA456","MN","PAS","9103576413","02/25/2024",,,,,
"CSK6099","TX","PAS","9103707441","08/08/2024","01:37P","EXPIRED MUNI METER","028","NY","TRAFFIC"
"KVG5726","NY","PAS","9103743196","02/08/2024","08:47A","FIRE HYDRANT","062","K","TRAFFIC"
"372450","DE","PAS","9103871599","01/30/2024","06:12A","FIRE HYDRANT","010","NY","TRAFFIC"
"TLJ4838","VA","PAS","9103954286","04/14/2024","06:50A","SAFETY ZONE","032","NY","TRAFFIC"
"BLANKPLATE","99","999","9103967244","02/05/2024","10:35A","SIDEWALK","048","BX","TRAFFIC"
"UBU3703","VA","PAS","9103967530","02/06/2024","09:42A","FIRE HYDRANT","046","BX","TRAFFIC"
"S1793964","GA","PAS","9103998034","02/23/2024",,,,,
"LBK4047","NY","PAS","9104256839","02/04/2024","07:43A","SAFETY ZONE","048","BX","TRAFFIC"
"BLANKPLATE","99","999","9104258186","02/10/2024","12:59P","FIRE HYDRANT","048","BX","TRAFFIC"
"BLANKPLATE","99","999","9104271373","01/29/2024","02:20P","FIRE HYDRANT","049","BX","TRAFFIC"
"LEA3533","NY","PAS","9104466536","02/28/2024",,,,,
"F8303","MA","PAS","9104485762","05/08/2024",,,,,
"AZ899Y","NJ","PAS","9104515237","10/28/2025","07:56A","DOUBLE PARKING","024","NY","TRAFFIC"
"BLANKPLATE","99","999","9104567535","01/26/2024","01:27P","FIRE HYDRANT","042","BX","TRAFFIC"
"S1808516","GA","PAS","9104587807","02/24/2024",,,,,
"KXN4203","NY","PAS","9104655771","01/23/2024","06:32A","FIRE HYDRANT","103","Q","TRAFFIC"
"DS89581","IL","PAS","9104856480","03/12/2025","10:20A","FAIL TO DSPLY MUNI METER RECPT","072","K","TRAFFIC"
"3EBY218","CA","PAS","9104864803","02/17/2024","12:18P","FIRE HYDRANT","070","K","TRAFFIC"
"LMG2248","PA","PAS","9104875655","01/27/2024","01:37P","DOUBLE PARKING","088","K","TRAFFIC"
"BK53264","CT","PAS","9104917250","03/06/2024",,,,,
"KZJ8180","NY","PAS","9104921203","01/26/2024","03:54P","DOUBLE PARKING","109","Q","TRAFFIC"
"BKD9395","MI","PAS","9105033408","03/12/2024",,,,,
"AW83474","CT","PAS","9105041922","01/31/2024","02:36P","FIRE HYDRANT","052","BX","TRAFFIC"
"BLANKPLATE","99","999","9105054102","02/16/2024","11:09A","FIRE HYDRANT","048","BX","TRAFFIC"
"524BSQ","CO","PAS","9105067479","04/25/2024",,,,,
"B55NPB","NJ","PAS","9105084222","02/27/2024",,,,,
"MKZ22883","PA","PAS","9105195858","04/09/2024",,,,,
"I01CVE","FL","PAS","9105333957","02/29/2024",,,,,
"5500040","GV","PAS","9105342521","02/12/2024","02:38P","FIRE HYDRANT","006","NY","TRAFFIC"
"BOU9440","WA","PAS","9105485540","03/30/2024",,,,,
"AR57553","CT","PAS","9105524830","02/23/2024",,,,,
"BK93211","CT","PAS","9105763678","03/23/2024",,,,,
"BLANKPLATE","99","999","9105806574","02/02/2024","06:42A","NO STOPPING-DAY/TIME LIMITS","044","BX","TRAFFIC"
"T744774C","NY","OMT","9105827607","01/27/2024","07:06A","FIRE HYDRANT","067","K","TRAFFIC"
"K12HHM","NJ","PAS","9105854982","02/23/2024",,,,,
"169BDNR","TN","PAS","9105988391","02/19/2024","08:05A","BIKE LANE","042","BX","TRAFFIC"
"BLANKPLATE","99","999","9106229827","02/02/2024","06:19A","NO PARKING-DAY/TIME LIMITS","045","BX","TRAFFIC"
"CXF3409","OH","PAS","9106242996","02/26/2024",,,,,
"BV94HM","FL","PAS","9106253532","02/06/2024","08:50P","FIRE HYDRANT","052","BX","TRAFFIC"
"DHR74T","FL","PAS","9106278887","02/27/2024",,,,,
"RAB6632","MS","PAS","9106340039","07/14/2024",,,,,
"HYW5513","PA","PAS","9106354300","03/07/2024",,,,,
"LEF9314","NY","PAS","9106382757","03/13/2024",,,,,
"TB5472","MS","PAS","9106418960","08/20/2025","09:05A","VIN OBSCURED","048","BX","TRAFFIC"
"ADYCH0Z","NY","MOT","9106544204","02/23/2024",,,,,
"T735564C","NY","OMT","9106617165","02/03/2024","09:09A","FIRE HYDRANT","049","BX","TRAFFIC"
"BAE","NY","ORG","9106635702","01/29/2024","05:14A","FIRE HYDRANT","071","K","TRAFFIC"
"664MRG","CT","999","9106729162","02/23/2024",,,,,
"MGL7503","PA","PAS","9106798391","03/04/2024",,,,,
"QFB9368","GA","PAS","9106919789","02/25/2024",,,,,
"KRU9840","NY","PAS","9106973267","02/28/2024","02:52P","FIRE HYDRANT","094","K","TRAFFIC"
"K55SYG","NJ","PAS","9107011039","02/12/2024","09:15A","CROSSWALK","106","Q","TRAFFIC"
"CB0YZFL","VA","PAS","9107099125","02/26/2024",,,,,
"T686648C","NY","OMT","9107121039","02/06/2024","05:56A","FIRE HYDRANT","028","NY","TRAFFIC"
"99616MM","NY","COM","9107127972","02/22/2024","11:07A","DOUBLE PARKING","028","NY","TRAFFIC"
"REZ390","MS","PAS","9107284846","02/26/2024",,,,,
"A42RMZ","NJ","PAS","9107333079","02/20/2024","11:26A","CROSSWALK","006","NY","TRAFFIC"
"ZK8048","NC","PAS","9107522320","02/23/2024",,,,,
"MJC8553","PA","PAS","9107541200","02/16/2024","11:04P","FIRE HYDRANT","110","Q","TRAFFIC"
"VAN8440","NC","PAS","9107591123","02/28/2024","01:21P","DOUBLE PARKING","019","NY","TRAFFIC"
"16EBUB","FL","PAS","9107760917","02/23/2024",,,,,
"B56PHR","NJ","PAS","9107809906","02/28/2024",,,,,
"S1824718","GA","PAS","9107864668","03/14/2024",,,,,
"875RMX","QB","PAS","9107894181","03/07/2024",,,,,
"HJA5759","PA","PAS","9107999665","02/27/2024",,,,,
"XMZD36","NJ","PAS","9108078440","02/23/2024",,,,,
"TKA5649","VA","PAS","9108111716","03/20/2024",,,,,
"XKWZ63","NJ","PAS","9108146986","02/26/2024","01:10P","NO STANDING-BUS STOP","019","NY","TRAFFIC"
"024TQD","DP","PAS","9108149320","03/24/2024","12:46P","NO STANDING-BUS STOP","019","NY","TRAFFIC"
"JRR7706","NY","PAS","9108199401","03/23/2024",,,,,
"F94RLC","NJ","PAS","9108302558","02/23/2024",,,,,
"S1815790","GA","PAS","9108326551","02/23/2024",,,,,
"F20SHA","NJ","PAS","9108368260","02/28/2024",,,,,
"ZHB1660","PA","PAS","9108409572","02/28/2024",,,,,
"DV41372","IL","PAS","9108420725","02/07/2024","09:08P","SAFETY ZONE","007","NY","TRAFFIC"
"C81RYJ","NJ","PAS","9108503448","02/08/2024","09:47A","DOUBLE PARKING","040","BX","TRAFFIC"
"S1803200","GA","PAS","9108509918","03/06/2024",,,,,
"GMG5387","NY","PAS","9108549138","03/01/2024",,,,,
"127BVM","MN","PAS","9108596323","04/24/2024",,,,,
"828416T","NJ","PAS","9108624150","02/25/2024","10:02A","DOUBLE PARKING","112","Q","TRAFFIC"
"S1690771","GA","PAS","9108634300","03/04/2024",,,,,
"GGL3005","PA","PAS","9108654748","04/15/2024",,,,,
"AG9767","PA","PAS","9108710296","03/13/2024",,,,,
"1DX201","RI","PAS","9108733314","03/04/2024",,,,,
"DL14B87","GA","PAS","9108788959","07/30/2024","04:09P","NO STANDING-BUS STOP","069","K","TRAFFIC"
"U68KXY","NJ","PAS","9108797560","03/13/2024",,,,,
